"","date","LocalTime","Air.Temperature_hourly.mean","Air.Pressure_hourly.mean","Solar.Voltage_hourly.mean","Relative.Humidity_hourly.mean"
"1",2018-04-01 00:00:00,2018-03-31 19:00:00,22.39,1031,0.97,35.19
"2",2018-04-01 01:00:00,2018-03-31 20:00:00,22.95,1032,0.99,35.15
"3",2018-04-01 02:00:00,2018-03-31 21:00:00,22.17,1032.33,0.93,36.35
"4",2018-04-01 03:00:00,2018-03-31 22:00:00,21.43,1033.17,0.86,36.5
"5",2018-04-01 04:00:00,2018-03-31 23:00:00,21.07,1034,0.83,36.3
"6",2018-04-01 05:00:00,2018-04-01 00:00:00,20.79,1034.33,0.8,36.22
"7",2018-04-01 06:00:00,2018-04-01 01:00:00,20.61,1034.83,0.79,36.14
"8",2018-04-01 07:00:00,2018-04-01 02:00:00,20.41,1035,0.78,36.16
"9",2018-04-01 08:00:00,2018-04-01 03:00:00,20.29,1035,0.77,36.13
"10",2018-04-01 09:00:00,2018-04-01 04:00:00,20.06,1035,0.75,36.2
"11",2018-04-01 10:00:00,2018-04-01 05:00:00,19.72,1034.17,0.73,36.4
"12",2018-04-01 11:00:00,2018-04-01 06:00:00,19.41,1034,0.71,36.63
"13",2018-04-01 12:00:00,2018-04-01 07:00:00,19.22,1034,0.69,36.65
"14",2018-04-01 13:00:00,2018-04-01 08:00:00,19.02,1034,0.68,36.75
"15",2018-04-01 14:00:00,2018-04-01 09:00:00,18.9,1034,0.67,36.76
"16",2018-04-01 15:00:00,2018-04-01 10:00:00,19.14,1034,0.69,36.18
"17",2018-04-01 16:00:00,2018-04-01 11:00:00,19.45,1034,0.71,35.71
"18",2018-04-01 17:00:00,2018-04-01 12:00:00,19.66,1034,0.72,35.57
"19",2018-04-01 18:00:00,2018-04-01 13:00:00,19.92,1034,0.74,35.32
"20",2018-04-01 19:00:00,2018-04-01 14:00:00,20.06,1034,0.76,35.2
"21",2018-04-01 20:00:00,2018-04-01 15:00:00,20.32,1033.17,0.79,35.24
"22",2018-04-01 21:00:00,2018-04-01 16:00:00,20.46,1033,0.79,35.62
"23",2018-04-01 22:00:00,2018-04-01 17:00:00,20.48,1032.33,0.79,35.93
"24",2018-04-01 23:00:00,2018-04-01 18:00:00,20.54,1032,0.79,36.85
"25",2018-04-02 00:00:00,2018-04-01 19:00:00,20.63,1032,0.8,36.81
"26",2018-04-02 01:00:00,2018-04-01 20:00:00,20.66,1032,0.8,36.94
"27",2018-04-02 02:00:00,2018-04-01 21:00:00,20.68,1032.17,0.8,37
"28",2018-04-02 03:00:00,2018-04-01 22:00:00,20.56,1033,0.79,36.92
"29",2018-04-02 04:00:00,2018-04-01 23:00:00,20.3,1033,0.78,38.24
"30",2018-04-02 05:00:00,2018-04-02 00:00:00,20.09,1033,0.76,37.4
"31",2018-04-02 06:00:00,2018-04-02 01:00:00,20.03,1033,0.76,37.02
"32",2018-04-02 07:00:00,2018-04-02 02:00:00,19.9,1033,0.75,37.06
"33",2018-04-02 08:00:00,2018-04-02 03:00:00,19.79,1033,0.74,37.19
"34",2018-04-02 09:00:00,2018-04-02 04:00:00,19.66,1033,0.73,37.12
"35",2018-04-02 10:00:00,2018-04-02 05:00:00,19.52,1033,0.73,36.97
"36",2018-04-02 11:00:00,2018-04-02 06:00:00,19.25,1033,0.71,37.19
"37",2018-04-02 12:00:00,2018-04-02 07:00:00,19.03,1033,0.7,37.3
"38",2018-04-02 13:00:00,2018-04-02 08:00:00,18.87,1033.4,0.69,37.34
"39",2018-04-02 14:00:00,2018-04-02 09:00:00,18.76,1034,0.67,37.27
"40",2018-04-02 15:00:00,2018-04-02 10:00:00,19.27,1034,0.71,36.32
"41",2018-04-02 16:00:00,2018-04-02 11:00:00,19.59,1034.17,0.73,35.95
"42",2018-04-02 17:00:00,2018-04-02 12:00:00,19.9,1034.83,0.75,36.18
