date,min_temp,max_temp,mean_temp,relative_humidity,daytime_precipitation,nighttime_precipitation,total_precipitation,sunshine_hours
01-01-2018,17.6,26,19.8,89.7,8.3,1,9.3,1.2
02-01-2018,17.2,27,21,84,0,0,0,1.9
03-01-2018,17.9,28.9,21,80.7,0,10,10,5.3
04-01-2018,17.4,28,20.6,82,0.4,0,0.4,5.5
05-01-2018,16.2,28.2,19.6,90.3,6.5,4.6,11.1,2.1
06-01-2018,17.2,30,21.1,78.3,0,2.6,2.6,6.6
07-01-2018,16.4,29.6,21.1,81.7,0,0,0,6.6
08-01-2018,17.2,28.2,21.4,81.3,0,7.5,7.5,5.4
09-01-2018,15.8,22.5,18.3,92,45.4,0.2,45.6,0.1
10-01-2018,14.3,29.1,21.4,79,0,0,0,7.4
11-01-2018,17.6,27.4,21,78.3,0,1.4,1.4,3.7
12-01-2018,17.2,26.4,20.2,82.3,0,0,0,1.8
13-01-2018,16.8,24.4,19.9,82.7,0,0,0,1.7
14-01-2018,15.4,25.4,19.9,80.7,0,7.2,7.2,2.5
15-01-2018,15.3,27.5,19.7,80.7,4.8,0.1,4.9,4
16-01-2018,17,26.4,19.8,83,0,1.1,1.1,1.1
17-01-2018,17.2,26,19.6,86.7,1.2,4.2,5.4,0.9
18-01-2018,17.1,26.2,20.4,86.7,0,0,0,1.3
19-01-2018,18.2,27.8,20.5,83.3,4.9,0,4.9,3.5
20-01-2018,17,28.3,21,84,0,0,0,5
21-01-2018,16.5,28,21.5,79.3,0,0,0,4.4
22-01-2018,17.5,25.6,20.8,87.3,0,0,0,0
23-01-2018,16.6,27,20.9,81,0,0,0,3.3
24-01-2018,17,31,21.9,75,0,0,0,6.3
25-01-2018,17.6,28.2,21.5,81.7,0,0,0,3.2
26-01-2018,15.8,29.4,21.4,80.7,0,0,0,4
27-01-2018,17,31.6,23.1,76.7,0,0,0,8.5
28-01-2018,18,28.6,21.8,85,0,0,0,2.7
29-01-2018,18.2,31,23.3,73,0,0,0,4.7
30-01-2018,18,30.9,23,79.7,0,0,0,2.6
31-01-2018,18.6,29.6,22.5,82.3,0,0,0,1.8
01-02-2018,16.2,31.4,22.9,73,0,0.3,0.3,7.6
02-02-2018,19.4,28.6,22.2,83,1.6,6,7.6,2.2
03-02-2018,18,28.2,21.4,85.7,8.5,0.9,9.4,1.6
04-02-2018,18.8,30.4,22.1,84,27.2,3.2,30.4,5.2
05-02-2018,19.3,30.8,22.1,82.7,1.3,2.2,3.5,6.3
06-02-2018,17.3,30.6,22.5,80.7,0.2,0,0.2,5.7
07-02-2018,17.4,31.4,23.1,73.7,0,0.2,0.2,8.2
08-02-2018,18.4,31.3,23.3,77.3,0,0,0,8.1
09-02-2018,18.2,29.8,23.1,78.3,0,0,0,5.7
10-02-2018,17.9,28,22.7,76.7,0,8,8,3.4
11-02-2018,18,25.6,21.1,91.3,20.5,0.5,21,0.8
12-02-2018,18.4,26.7,20.8,82.7,0,0,0,2.7
13-02-2018,16.5,28.7,20.6,80,8.5,5,13.5,6.3
14-02-2018,17.4,29,21.5,85,0,0,0,6
15-02-2018,17.3,29.6,21.9,79.3,0,0,0,4.8
16-02-2018,16.6,28.5,21.7,79.7,0,12,12,4.2
17-02-2018,17.8,27.9,21,85,0.3,0.8,1.1,2.2
18-02-2018,17.2,31.6,22.4,78.7,0.5,3.7,4.2,6.4
19-02-2018,18,29.4,22,81,0,0.1,0.1,4.4
20-02-2018,17.6,27,21.4,86.7,0.4,0,0.4,1.3
21-02-2018,18,30,22.8,73.7,0,67.2,67.2,6.9
22-02-2018,17.3,25.2,19.4,91.3,15.1,0.4,15.5,1.2
23-02-2018,17,27.4,20.6,83.3,14,23,37,1.7
24-02-2018,15.8,27,19.9,84.7,6,2,8,2
25-02-2018,16,28.4,20.4,79.3,0,1,1,5
26-02-2018,15,29.6,21.3,71.3,0,0,0,9.1
27-02-2018,14.9,28.5,21.6,74,0,0,0,8.6
28-02-2018,15.6,31.4,22.1,73.7,0,0,0,8.5
01-03-2018,17,31.2,23.5,68,0,0,0,9.1
02-03-2018,18,26.6,21.6,80.7,0,0,0,0.1
03-03-2018,17.9,31.9,23.9,70,0,11,11,6.3
04-03-2018,17.7,29.6,22.1,80.3,0,4.9,4.9,3.6
05-03-2018,17.2,30,21.7,79.7,1.4,8.3,9.7,4.6
06-03-2018,17.9,28.6,22.4,82.3,0,0,0,2.3
07-03-2018,17,30.2,23.3,76,0,0,0,7.2
08-03-2018,18.8,30,23.1,79.7,0,24.7,24.7,4.3
09-03-2018,17.6,31.9,23.9,77.3,0,0,0,5
10-03-2018,19.7,31.4,24.3,70.3,0,0,0,6.7
11-03-2018,16.8,31,23.4,72.3,0,0,0,6.5
12-03-2018,17.5,31.3,23.2,75.7,0,0,0,5.5
13-03-2018,18.5,31.2,23.7,71.7,0,37.7,37.7,6.2
14-03-2018,18.1,30,23,77,0,0.6,0.6,4.9
15-03-2018,17.5,25.2,21.5,83.3,0.2,0,0.2,0.2
16-03-2018,16.5,28.2,22.7,76,0,19.1,19.1,3.7
17-03-2018,17.5,30.6,22.4,80,0,0,0,7.1
18-03-2018,17.4,29,21.1,80.7,3.3,4.9,8.2,2.4
19-03-2018,17.7,29.1,22.1,81.3,8.9,16,24.9,4.5
20-03-2018,18.2,26.2,21.2,86.7,0.7,0,0.7,0.2
21-03-2018,18,29.2,22.6,79,0,0,0,2.3
22-03-2018,18.5,27.4,22.3,83.7,0,0,0,0.2
23-03-2018,17.5,30.8,22.6,79.7,0,24.1,24.1,4.9
24-03-2018,17,29.3,21.5,84,0,0,0,3.6
25-03-2018,18,30.8,23.4,73,0,16.3,16.3,7.9
26-03-2018,17.5,29.2,21.5,83,0,0.8,0.8,5.9
27-03-2018,17.4,30.4,21.8,82.3,4.9,2.6,7.5,3.9
28-03-2018,17,28,21.7,81,0.1,2.5,2.6,0
29-03-2018,17.5,24.6,19.9,90,17,0.7,17.7,0
30-03-2018,17,27.2,20,85.3,10,1,11,1.5
31-03-2018,16.9,28,20.2,80.3,0.3,36.2,36.5,2.6
01-04-2018,16.5,26.3,20.2,86.3,1.6,0.2,1.8,2.9
02-04-2018,17,25,19,96,19.7,0,19.7,0.6
03-04-2018,16,25.5,20.6,84,0,29,29,1.8
04-04-2018,17,27,19.8,89.7,9.8,0,9.8,0.8
05-04-2018,16.4,28.7,20.6,83.3,0,10.2,10.2,3.2
06-04-2018,15.5,23.5,18.4,95.3,11.2,0,11.2,0
07-04-2018,15.6,29.5,21.3,77.7,0,0,0,5.5
08-04-2018,15.5,31,22.1,76.7,0,0,0,8.4
09-04-2018,17.5,28.1,21.3,79.7,18.1,12.2,30.3,6.1
10-04-2018,16.8,25,19.9,89,0,7.2,7.2,1.3
11-04-2018,16.5,25.7,21.4,83.7,0,15,15,0.7
12-04-2018,16.8,27.8,21.1,81.7,0,0,0,3.3
13-04-2018,16.5,29.2,20.9,81.7,37.2,12.4,49.6,1.7
14-04-2018,17.1,27,21.2,84.7,0.3,1.2,1.5,2.8
15-04-2018,14.5,27.3,20.6,83,0,0,0,0.7
16-04-2018,17.1,27.5,20.9,86,0.5,0,0.5,3
17-04-2018,17.2,27.4,21.5,84.3,0.1,0,0.1,0.3
18-04-2018,17.3,27.5,22,82,0.6,0,0.6,0.5
19-04-2018,17.2,28.4,21.7,85,0.2,1,1.2,4
20-04-2018,18,24.6,20.8,90,0,0,0,0
21-04-2018,16,30.6,21.6,75.7,19.5,0,19.5,6.2
22-04-2018,18,26.4,21.5,83.7,0.6,0,0.6,0
23-04-2018,18.1,29,22,85,0.2,2.6,2.8,4.2
24-04-2018,18,27.3,21.6,85,0,0,0,3.1
25-04-2018,17.6,25.8,21,91.3,10.8,0,10.8,0.1
26-04-2018,18,27.5,21,86.3,1.3,0,1.3,0.5
27-04-2018,18.2,23.4,20.4,91,2.6,1.2,3.8,0
28-04-2018,17.5,26.8,19.9,93.7,1.1,6.5,7.6,0.5
29-04-2018,17.6,25,20.1,90,0,0,0,0.1
30-04-2018,15.5,27.6,22,82.3,0,2.3,2.3,5.6
01-05-2018,17,28.2,21,89,2.4,2.8,5.2,3.4
02-05-2018,17.2,29.2,21,82.3,0,0,0,2.4
03-05-2018,17.3,25.4,20.1,92.7,0,0,0,0.1
04-05-2018,17,29.8,21.2,81.7,16.6,0,16.6,2.4
05-05-2018,17.5,24.6,20.3,89.3,17.5,0,17.5,1
06-05-2018,15.6,28.4,20.6,84,1.3,0,1.3,3.2
07-05-2018,18.2,26,21.3,89,3.4,6.2,9.6,0.6
08-05-2018,17,26.8,20.5,86.7,0,9.5,9.5,1.9
09-05-2018,16.8,26.4,20,92.3,1.2,0.4,1.6,1.9
10-05-2018,18.2,27.6,20.3,85.7,26.3,0,26.3,2.4
11-05-2018,17.2,27.4,21.6,84.7,0.2,0,0.2,0.9
12-05-2018,16.5,27.5,21.2,85,0.4,18.3,18.7,1.1
13-05-2018,17.5,26,20.2,86.3,2.4,6.2,8.6,0.4
14-05-2018,17,27.6,20.2,81.7,6.8,3.5,10.3,1.7
15-05-2018,16.8,28.4,20.9,87.3,0.1,0.3,0.4,3.8
16-05-2018,16.6,26.6,19.9,92,6.1,0,6.1,3.2
17-05-2018,16.7,28.3,21.8,81.3,0,0.8,0.8,2.2
18-05-2018,18.3,27.2,20.1,91,3.3,0.2,3.5,1.8
19-05-2018,17.6,28.1,21.6,84,0.2,19.9,20.1,3.8
20-05-2018,18,26.8,20.3,93,1.4,0.2,1.6,1.5
21-05-2018,18.2,24.8,20.5,89,4,0,4,0.2
22-05-2018,16,29.2,21.7,81.7,0,9.2,9.2,4.5
23-05-2018,18.2,25,21,89,0.1,0,0.1,0.5
24-05-2018,17.2,29.6,21.8,80,0.4,0,0.4,5.5
25-05-2018,18,30.6,22.8,78.3,0,20.9,20.9,5
26-05-2018,18.6,24.9,21.2,90,0.4,0,0.4,0.7
27-05-2018,17.2,27.8,21.6,86,2.4,32.6,35,1.2
28-05-2018,18,25.2,21.3,87,0,0,0,0.2
29-05-2018,17.5,28.4,22.2,78,0,5.1,5.1,3.3
30-05-2018,18,26.5,20.3,91.3,1.2,0,1.2,1.8
31-05-2018,16,30,22.2,78,0.1,0,0.1,5.9
01-06-2018,17.5,25.8,19.5,93.7,16.2,0,16.2,0.5
02-06-2018,16.2,28,21.5,81.7,0,1.8,1.8,3.7
03-06-2018,18.5,29,22.1,82.7,0,2.4,2.4,3.6
04-06-2018,18.4,27.2,22,85,0,21.1,21.1,1.8
05-06-2018,19,28,21.9,85.3,0,0,0,2.7
06-06-2018,17.6,27.1,21.4,90.7,0.8,0,0.8,1.6
07-06-2018,17.8,29.6,22.9,79.3,0,0.7,0.7,4
08-06-2018,19.2,31.3,23.8,80.7,0,18.6,18.6,5.5
09-06-2018,20,27.6,23,86.7,0,11.4,11.4,0.5
10-06-2018,18,24.9,20.9,91.3,1,0,1,0.3
11-06-2018,17.9,29.1,21.7,84.3,2.4,23.2,25.6,2.7
12-06-2018,17.8,28.9,22.4,81.7,0,0,0,4
13-06-2018,17.4,30.2,22.1,81,0.2,6.7,6.9,3.8
14-06-2018,17.8,27,21.4,82,0.1,5.4,5.5,2.6
15-06-2018,17.5,27.4,22,83,0,0,0,1.9
16-06-2018,16.8,30.5,22.5,78.3,0,0,0,6.2
17-06-2018,18.5,31.7,23.5,77.3,0,1.2,1.2,4.9
18-06-2018,17.7,28,21.8,82,2.2,1.9,4.1,3.6
19-06-2018,17.2,26,21.3,87,0.1,0,0.1,2.3
20-06-2018,17,28.4,21.7,85,0,0,0,2.8
21-06-2018,18.2,29,23.1,75.7,0,0,0,5
22-06-2018,18.1,30,22.8,75.3,0,0.6,0.6,6.9
23-06-2018,18.2,26.1,21.2,86.3,0.8,6.2,7,1.7
24-06-2018,18,29,22.1,83.3,0.9,24.8,25.7,4.2
25-06-2018,16,27.3,20.7,83.7,0,0,0,2.3
26-06-2018,17.1,27,21.8,81.7,0,0,0,2.5
27-06-2018,16.2,29.1,21.6,81.3,0,13.9,13.9,4.9
28-06-2018,18,27.2,20.8,83.7,1.8,0,1.8,2.1
29-06-2018,17.6,27.5,21.9,81,0,1,1,2.8
30-06-2018,17.4,26.8,20.6,87,2.1,0,2.1,2.5
01-07-2018,16.8,28.6,21.1,74.7,0,131.8,31.8,5.8
02-07-2018,17.2,24.8,19.9,93,0.2,6.3,6.5,1
03-07-2018,16.6,28.9,20.1,91,2.2,0,2.2,3.1
04-07-2018,17.7,30,22.4,81.7,0,0,0,4.4
05-07-2018,18.2,28.2,22.1,83,0,0,0,2.8
06-07-2018,18,28.8,21.1,87.7,0.8,4.2,5,2.3
07-07-2018,18.2,26.8,21.2,86.3,0.4,0.1,0.5,0
08-07-2018,17,30.6,22.7,75,0,0,0,7.6
09-07-2018,17.6,28.2,21.7,86.3,0,0,0,2
10-07-2018,16.6,29.8,22,77,0,0,0,4
11-07-2018,17.5,29.2,22,73.7,0.1,0,0.1,4.8
12-07-2018,16.2,30,22.8,69.7,0,4.8,4.8,6.7
13-07-2018,18,29,22.1,81.3,0.5,0,0.5,2.5
14-07-2018,17.7,30.1,22.7,72.3,0,6.4,6.4,6.8
15-07-2018,17.5,30,22.3,77,0,0.1,0.1,7.5
16-07-2018,18.5,26.8,21.9,82.3,0,0,0,2.7
17-07-2018,17,27.4,21.3,80,0,1,1,3.6
18-07-2018,17.5,29.4,22.3,75.3,0,0.5,0.5,4.5
19-07-2018,17.6,30.3,22.8,78,0,0.6,0.6,5.2
20-07-2018,18.8,28.8,23.2,77,0,1.5,1.5,3.5
21-07-2018,18.3,29,23.2,78.3,0,2.2,2.2,4.6
22-07-2018,17.5,25.5,20.9,84.7,0,0,0,0.2
23-07-2018,16.5,28.7,21.8,76.3,0,3.7,3.7,4.1
24-07-2018,17.4,24.5,19.9,88,0.9,0,0.9,0.3
25-07-2018,15.6,30.6,23,74.7,0,97.2,97.2,8
26-07-2018,16.6,27,21,84.7,0,7.9,7.9,1.6
27-07-2018,18,25.3,20.6,89,14.6,3.2,17.8,2
28-07-2018,17.2,28.4,21.4,84,0,0,0,4.2
29-07-2018,18.4,28.6,22.1,81.3,0.2,0.7,0.9,4.4
30-07-2018,18,25,20.1,87,0.5,8.7,9.2,0.6
31-07-2018,16.8,24.9,19.9,90,0.1,0,0.1,1.1
01-08-2018,16.8,29.2,21.6,78.3,0.4,0,0.4,5.1
02-08-2018,16.6,29.6,21.8,76,0,0,0,6.4
03-08-2018,17.8,29.2,22.4,74.3,0,49.3,49.3,6
04-08-2018,17.5,27.4,21.3,82.3,0,7.2,7.2,6
05-08-2018,16.3,26.2,20.3,88.3,0.6,0,0.6,0
06-08-2018,16.8,27.2,21.3,78,0,0,0,5.2
07-08-2018,16,28.4,21.3,80.3,0,0,0,5.8
08-08-2018,16.2,29.7,22.1,73.7,0,0,0,8.1
09-08-2018,16.7,29.5,22.3,75,0,0,0,4.8
10-08-2018,15.6,30.4,21.8,72,0,0,0,8.5
11-08-2018,14.2,31.6,22.1,69,0,0,0,6.3
12-08-2018,16,29.4,22.3,74.7,0,0.4,0.4,5.1
13-08-2018,17.5,26.5,20.6,85.7,0.1,24.8,24.9,3
14-08-2018,16.2,22.5,18.5,96.3,10,17,27,0.2
15-08-2018,15.8,26,20.3,84.3,0,0,0,2.7
16-08-2018,14.8,29.4,22.1,73,0,0,0,8.2
17-08-2018,16.7,30,22.2,73.3,0,0,0,4.8
18-08-2018,16.8,28.8,22.4,78.7,0,12.9,12.9,8.3
19-08-2018,17.5,27.2,20.8,87.7,0,0,0,5.1
20-08-2018,15,29,21.9,72.3,0,0,0,6.9
21-08-2018,15.6,29.5,21.2,78,0,0,0,4.4
22-08-2018,17.2,30.8,22.8,76.3,0,0,0,4.5
23-08-2018,16.4,29.2,22.2,75,0,14.2,14.2,5.7
24-08-2018,16.8,29.4,22.2,74.7,0,0,0,6.9
25-08-2018,17.3,29.8,22.7,75.7,0,0.4,0.4,6.8
26-08-2018,17.4,29.4,22.6,77.3,0,1,1,5.6
27-08-2018,18.4,26.6,21.7,81.7,0,0,0,3.1
28-08-2018,15.6,26.1,20.6,81,0,0,0,3
29-08-2018,16.5,28.5,22.1,80.3,0,0,0,3.9
30-08-2018,17.5,27.5,21.4,80.7,0,0,0,1.6
31-08-2018,16.3,28.9,22,73.7,0,0.1,0.1,5.4
01-09-2018,16.3,30.9,22.3,70.3,0,0.4,0.4,8
02-09-2018,17.6,29,22.6,72.7,0.4,1.1,1.5,4.3
03-09-2018,16.8,28.7,21.8,78,0,16.9,16.9,5.7
04-09-2018,16.6,25.9,20.5,85.7,0,0.1,0.1,4
05-09-2018,16.4,27,20,88,0.1,3.4,3.5,2.4
06-09-2018,17.5,27.9,21.4,81.3,0,4.9,4.9,3.4
07-09-2018,17.7,27.5,21.6,84,0.2,18.7,18.9,3.6
08-09-2018,16.8,29.6,21.4,78.7,0,1.2,1.2,6.3
09-09-2018,16.9,27.4,21.7,78,0,1.4,1.4,4.7
10-09-2018,16.1,29.8,21.7,75,5,0,5,5.3
11-09-2018,17,27.3,19.9,88,0,0,0,2.2
12-09-2018,16.9,28,21.5,78,0,7.4,7.4,4.2
13-09-2018,17.3,24.2,19.5,91.7,10.1,9,19.1,0.4
14-09-2018,16.7,28.2,20.8,81.3,0.4,13,13.4,4.3
15-09-2018,17,22.6,19.1,92.3,2.7,12.3,15,1
16-09-2018,15.6,23.5,19.4,89.3,2.6,0,2.6,0.2
17-09-2018,13.5,29.4,21.2,83.7,0,10.5,10.5,8.3
18-09-2018,17,28.5,21.3,82.7,0.1,5.9,6,5.6
19-09-2018,16.2,29.3,20.8,80.3,0.3,0,0.3,5.1
20-09-2018,16.3,30.9,23.2,75.7,0,0,0,8.3
21-09-2018,17.3,29.9,22.4,72.7,0,5.6,5.6,6.8
22-09-2018,16.5,28.4,22.6,79.7,0,0,0,2.7
23-09-2018,17.7,29,22,77.7,0,1.3,1.3,3.3
24-09-2018,16.9,29.4,22.8,74.3,0,0,0,4.8
25-09-2018,17.8,27.5,21.8,78,0.1,0,0.1,3.6
26-09-2018,16,28.9,21.5,76,0.7,0.4,1.1,5.2
27-09-2018,16.5,25.8,19.7,84.7,23.6,0,23.6,0.4
28-09-2018,15,26.9,20.3,79,1.1,0,1.1,3.2
29-09-2018,16.5,27.8,20.9,78,0,0,0,3
30-09-2018,16.3,28.1,21.4,75.7,0,0,0,2.9
01-10-2018,18,28.1,22.7,71.3,0.2,0,0.2,4.2
02-10-2018,17.9,28.9,22.2,66.3,0,0,0,4.7
03-10-2018,17,27.4,19.8,91.7,2.2,0.1,2.3,3.3
04-10-2018,17.2,29.2,21.7,80.7,3.1,28.7,31.8,5.7
05-10-2018,16.6,26,20,80.3,0.2,57.6,57.8,2.6
06-10-2018,15.6,22.9,18.7,91,0.5,0,0.5,1.5
07-10-2018,16.8,29.2,21,82.3,14.1,28.7,42.8,4
08-10-2018,17.6,22.9,19,88.7,0.6,0,0.6,0.3
09-10-2018,15.4,26.5,19,87,12.4,9.3,21.7,0.8
10-10-2018,16.2,27.3,20.1,85,0.4,17.2,17.6,2.5
11-10-2018,14.4,27,18.9,81.3,0.1,0.2,0.3,5.8
12-10-2018,16,23.7,19.5,85.7,0,0,0,0.7
13-10-2018,16.8,26.5,21.2,79.7,0,0,0,4.8
14-10-2018,14.8,30,21.1,78.7,0,8.8,8.8,8.2
15-10-2018,17.1,27.6,21.7,83.3,0,0,0,5.2
16-10-2018,16.5,25.6,19.5,84.7,4.1,0,4.1,0.9
17-10-2018,16,26.3,17.9,94.3,7.6,0.1,7.7,2.8
18-10-2018,15.9,27.6,19.8,83.3,23.8,0,23.8,5
19-10-2018,16,28,21,79.7,0,4.1,4.1,4.5
20-10-2018,16.5,27.7,20.3,84.3,14.8,2.4,17.2,7.2
21-10-2018,15.3,26,20.3,85.7,0,0,0,0.6
22-10-2018,16.9,28.6,21.5,80,0,7.8,7.8,3.6
23-10-2018,17.5,28.5,20.8,84.7,0,21.5,21.5,5.1
24-10-2018,17.8,28.3,21.7,80.7,0,14.2,14.2,6
25-10-2018,17.7,28.5,21.2,84.7,0,3.2,3.2,4.1
26-10-2018,18,27.5,21.1,87.3,0.4,7.9,8.3,6.1
27-10-2018,17.4,27.1,20.9,85,0,0.2,0.2,3.7
28-10-2018,17.6,28,21.9,81,0,11.6,11.6,4.2
29-10-2018,17.5,25,20.5,89,0,0,0,1
30-10-2018,17,25.3,20.9,88.3,0.8,0,0.8,2.7
31-10-2018,17.6,29.5,21.7,81.7,0,1.1,1.1,4.1
01-11-2018,17.5,27.5,20.9,84.3,0.6,7.3,7.9,2.1
02-11-2018,16.7,25.4,18.7,94,19.2,0.5,19.7,2.8
03-11-2018,16.9,25,19.4,87.3,2.7,4.2,6.9,1.3
04-11-2018,16.5,25.8,19.4,90.3,35.6,1.8,37.4,1.2
05-11-2018,16.7,23.6,19.1,92.7,14,0.1,14.1,1.3
06-11-2018,16.4,26.1,19.2,86,20.9,0,20.9,5.3
07-11-2018,14.6,29.8,20.6,81.3,0,2.6,2.6,8.8
08-11-2018,17,28.5,20.1,83,0.3,50.3,50.6,6.9
09-11-2018,17.5,24.4,20.2,87,0.4,2.2,2.6,0.2
10-11-2018,16.8,25.2,19.2,92.7,0.8,0,0.8,1.9
11-11-2018,17,27,21.2,81.7,1.1,0.4,1.5,2.9
12-11-2018,17.2,25.5,20.1,85.7,0.5,0,0.5,1.1
13-11-2018,16.5,27,20,85,7.3,0.5,7.8,2.9
14-11-2018,18,26.1,20.9,86.3,0,0.4,0.4,1.7
15-11-2018,16.3,29.4,21.7,76.3,0,0,0,9.2
16-11-2018,17.5,28.6,22,82.3,0,0,0,3.4
17-11-2018,17,28,20.8,83,1.8,0,1.8,1.1
18-11-2018,16.2,28.5,21.3,81.3,0.8,9.4,10.2,4.8
19-11-2018,18,25.6,20.1,88,0.1,7.5,7.6,0.8
20-11-2018,16.6,27.6,20.6,85,0,27,27,4.7
21-11-2018,16.9,24,19.7,88.3,17.4,0,17.4,0.2
22-11-2018,15.3,29,21.5,81.7,1.2,10.7,11.9,8.5
23-11-2018,17.6,30.2,22,80.7,0,0,0,5
24-11-2018,17,28.5,22.3,81.3,0,2.3,2.3,6.3
25-11-2018,18,26,21.6,82,0,2.2,2.2,1.8
26-11-2018,17.8,23.8,19.6,93.3,6.6,1,7.6,1
27-11-2018,17,22.4,18.3,94,2.6,0,2.6,0.2
28-11-2018,16.3,25.1,19.2,87,9.7,0,9.7,2.7
29-11-2018,14.6,29.4,21.2,82,0.3,18.2,18.5,8
30-11-2018,17,25.4,19.7,92.7,1.4,0.2,1.6,2.1
01-12-2018,16.9,24.6,19.2,89.3,0.2,0,0.2,2.9
02-12-2018,15.7,27.9,19.6,87,0.3,0,0.3,2.9
03-12-2018,16.6,26.6,19.7,88,0.1,3.1,3.2,3.5
04-12-2018,15.2,27.5,17.9,90.3,12.8,8.6,21.4,3.7
05-12-2018,15.5,23.8,19.1,89.3,2.4,28.3,30.7,0.7
06-12-2018,16.6,27.4,19.9,83.3,0,19.7,19.7,3.3
07-12-2018,16.9,26,20.7,83.3,0.1,2.4,2.5,3.2
08-12-2018,16.4,26.6,21.1,81.7,0,0,0,3.7
09-12-2018,16,28.7,20.7,80.3,0,0,0,7.1
