date,min_temp,max_temp,mean_temp,relative_humidity,daytime_precipitation,nighttime_precipitation,total_precipitation,sunshine_hours
01-01-2018,19.5,26.4,21.9,88.7,1.9,4.9,6.8,2.3
02-01-2018,18.4,28,22.6,82.3,0,6.4,6.4,3.6
03-01-2018,18.8,28.2,22.1,80.7,6.3,27.8,34.1,5.9
04-01-2018,18.4,28.8,21.7,83.7,0.3,0,0.3,6.3
05-01-2018,19.4,28.2,22.5,83,2,28.2,30.2,5.8
06-01-2018,19.2,28.6,23.1,80,0,30.3,30.3,6.8
07-01-2018,17.4,29,22.4,84,0,0.8,0.8,7.8
08-01-2018,18.8,29.4,22.5,82.7,0,7,7,6.9
09-01-2018,18.1,22.2,19.6,96.3,17.1,0.5,17.6,0
10-01-2018,16.6,28.8,21.8,82,0,0,0,7.5
11-01-2018,18.6,28.7,23,81,0.4,2.9,3.3,3.1
12-01-2018,19.6,27.4,21.7,87,1.4,0.2,1.6,2.3
13-01-2018,19,27.6,22.4,85.3,0,0,0,2.7
14-01-2018,19.3,27.2,22.6,81.7,0,5.7,5.7,3.3
15-01-2018,19,28,22.6,82,0,0.8,0.8,5.9
16-01-2018,19.5,28,22,86,0.2,0.8,1,4.1
17-01-2018,19.4,26.2,21.8,86.3,7.8,4.7,12.5,1.9
18-01-2018,18.8,27.2,22.3,86.3,0,47,47,1.7
19-01-2018,19.4,28.6,22.5,81,0.2,0,0.2,5.1
20-01-2018,18.8,29.2,22.9,79.3,0,0,0,3.6
21-01-2018,17.8,29,23.5,77.7,0,0,0,5.7
22-01-2018,18.6,24.2,21.7,87.7,0,0,0,0
23-01-2018,18.2,28,22.6,82,0,0,0,3
24-01-2018,18.4,30.2,23.7,78.3,0,0,0,7.9
25-01-2018,18.6,28.4,22.8,83,0,0,0,0.4
26-01-2018,17.2,29.2,23.2,80.3,0,0.7,0.7,5.1
27-01-2018,18.4,31.2,24.2,74.3,0,0.1,0.1,9.1
28-01-2018,20,29.2,24.2,82,0,21,21,3
29-01-2018,20,30.2,24.3,79,0,0,0,4.4
