date,Air.Pressure_hourly.mean,Air.Temperature_hourly.mean,Relative.Humidity_hourly.mean,sensors.VPD,Solar.Voltage_hourly.mean,localTime
2018-04-01 00:00:00,1031.0,22.39,35.18,1.76,0.97,2018-04-01 00:00:00-05:00
2018-04-01 01:00:00,1032.0,22.95,35.15,1.82,0.99,2018-04-01 01:00:00-05:00
2018-04-01 02:00:00,1032.33,22.17,36.35,1.7,0.93,2018-04-01 02:00:00-05:00
2018-04-01 03:00:00,1033.17,21.43,36.5,1.62,0.86,2018-04-01 03:00:00-05:00
2018-04-01 04:00:00,1034.0,21.07,36.29,1.59,0.83,2018-04-01 04:00:00-05:00
2018-04-01 05:00:00,1034.33,20.79,36.22,1.57,0.8,2018-04-01 05:00:00-05:00
2018-04-01 06:00:00,1034.83,20.61,36.14,1.55,0.79,2018-04-01 06:00:00-05:00
2018-04-01 07:00:00,1035.0,20.41,36.16,1.53,0.78,2018-04-01 07:00:00-05:00
2018-04-01 08:00:00,1035.0,20.29,36.13,1.52,0.77,2018-04-01 08:00:00-05:00
2018-04-01 09:00:00,1035.0,20.06,36.2,1.5,0.75,2018-04-01 09:00:00-05:00
2018-04-01 10:00:00,1034.17,19.72,36.4,1.46,0.73,2018-04-01 10:00:00-05:00
2018-04-01 11:00:00,1034.0,19.41,36.63,1.43,0.71,2018-04-01 11:00:00-05:00
2018-04-01 12:00:00,1034.0,19.22,36.65,1.41,0.69,2018-04-01 12:00:00-05:00
2018-04-01 13:00:00,1034.0,19.02,36.75,1.39,0.68,2018-04-01 13:00:00-05:00
2018-04-01 14:00:00,1034.0,18.9,36.76,1.38,0.67,2018-04-01 14:00:00-05:00
2018-04-01 15:00:00,1034.0,19.14,36.18,1.42,0.69,2018-04-01 15:00:00-05:00
2018-04-01 16:00:00,1034.0,19.45,35.71,1.46,0.71,2018-04-01 16:00:00-05:00
2018-04-01 17:00:00,1034.0,19.66,35.57,1.48,0.73,2018-04-01 17:00:00-05:00
2018-04-01 18:00:00,1034.0,19.92,35.32,1.51,0.74,2018-04-01 18:00:00-05:00
2018-04-01 19:00:00,1034.0,20.06,35.2,1.52,0.76,2018-04-01 19:00:00-05:00
2018-04-01 20:00:00,1033.17,20.32,35.24,1.55,0.79,2018-04-01 20:00:00-05:00
2018-04-01 21:00:00,1033.0,20.46,35.62,1.55,0.79,2018-04-01 21:00:00-05:00
2018-04-01 22:00:00,1032.33,20.48,35.93,1.55,0.79,2018-04-01 22:00:00-05:00
2018-04-01 23:00:00,1032.0,20.54,36.85,1.53,0.79,2018-04-01 23:00:00-05:00
2018-04-02 00:00:00,1032.0,20.63,36.81,1.54,0.8,2018-04-02 00:00:00-05:00
2018-04-02 01:00:00,1032.0,20.67,36.94,1.54,0.8,2018-04-02 01:00:00-05:00
2018-04-02 02:00:00,1032.17,20.68,37.0,1.54,0.8,2018-04-02 02:00:00-05:00
2018-04-02 03:00:00,1033.0,20.56,36.92,1.53,0.79,2018-04-02 03:00:00-05:00
2018-04-02 04:00:00,1033.0,20.3,38.24,1.47,0.78,2018-04-02 04:00:00-05:00
